Phase1, At fold 0, seed [33864],round 1 we find one with acc: 90.84745762711864, loss: 0.23743419323937368
Phase1, At fold 0, seed [33864],round 2 we find one with acc: 91.86440677966101, loss: 0.20961492940530937
Phase1, At fold 1, seed 33864,round 1 we find one with acc: 89.79591836734694, loss: 0.27762671159643704
Phase1, At fold 1, seed 33864,round 2 we find one with acc: 88.77551020408163, loss: 0.28265695821265785
Phase1, At fold 2, seed 33864,round 1 we find one with acc: 94.89795918367346, loss: 0.16098375871878903
Phase1, At fold 2, seed 33864,round 2 we find one with acc: 94.5578231292517, loss: 0.15605350918307595
Phase1, At fold 3, seed 33864,round 1 we find one with acc: 91.15646258503402, loss: 0.24878086889682172
Phase1, At fold 3, seed 33864,round 2 we find one with acc: 89.45578231292517, loss: 0.271390911673202
Phase1, At fold 4, seed 33864,round 1 we find one with acc: 89.79591836734694, loss: 0.25106191554037083
Phase1, At fold 4, seed 33864,round 2 we find one with acc: 90.81632653061224, loss: 0.21282833682841995
10folds, Phase2,with aug, At fold 3, seed 26235,round 2 we find one with acc: 93.16770186335404, loss: 0.1666753567894053
10folds, Phase2,with aug, At fold 4, seed 26235,round 1 we find one with acc: 88.75, loss: 0.2913238227367401
10folds, Phase2,with aug, At fold 4, seed 26235,round 2 we find one with acc: 85.625, loss: 0.33641294836997987
10folds, Phase2,with aug, At fold 4, seed 26235,round 3 we find one with acc: 89.375, loss: 0.30051700472831727
10folds, Phase2,with aug, At fold 5, seed 26235,round 1 we find one with acc: 95.625, loss: 0.13565732389688492
10folds, Phase2,with aug, At fold 5, seed 26235,round 2 we find one with acc: 95.625, loss: 0.12829212918877603
10folds, Phase2,with aug, At fold 6, seed 26235,round 1 we find one with acc: 94.375, loss: 0.14415500164031983
10folds, Phase2,with aug, At fold 6, seed 26235,round 2 we find one with acc: 93.125, loss: 0.179697248339653
10folds, Phase2,with aug, At fold 7, seed 26235,round 1 we find one with acc: 88.75, loss: 0.26612411737442015
10folds, Phase2,with aug, At fold 7, seed 26235,round 2 we find one with acc: 89.375, loss: 0.251275098323822
10folds, Phase2,with aug, At fold 7, seed 26235,round 3 we find one with acc: 91.25, loss: 0.26006743013858796
10folds, Phase2,with aug, At fold 8, seed 26235,round 1 we find one with acc: 90.625, loss: 0.26114879846572875
10folds, Phase2,with aug, At fold 8, seed 26235,round 2 we find one with acc: 91.875, loss: 0.22598306238651275
10folds, Phase2,with aug, At fold 8, seed 26235,round 3 we find one with acc: 91.875, loss: 0.23052260875701905
10folds, Phase2,with aug, At fold 9, seed 26235,round 1 we find one with acc: 92.5, loss: 0.20636427998542786
10folds, Phase2,with aug, At fold 9, seed 26235,round 2 we find one with acc: 94.375, loss: 0.15789610743522645
10folds, Phase2,with aug, At fold 4, seed 26235,round 1 we find one with acc: 87.5, loss: 0.33673653602600095
10folds, Phase2,with aug, At fold 4, seed 26235,round 2 we find one with acc: 88.125, loss: 0.2878478169441223
10folds, Phase2,with aug, At fold 4, seed 26235,round 3 we find one with acc: 90.0, loss: 0.3068344295024872
10folds, Phase2,with aug, At fold 7, seed 26235,round 1 we find one with acc: 90.625, loss: 0.2740117132663727
10folds, Phase2,with aug, At fold 7, seed 26235,round 2 we find one with acc: 89.375, loss: 0.25593312084674835
10folds, Phase2,with aug, At fold 7, seed 26235,round 3 we find one with acc: 87.5, loss: 0.2962503135204315
10folds, Phase2,with aug, At fold 8, seed 26235,round 1 we find one with acc: 93.125, loss: 0.22367495596408843
10folds, Phase2,with aug, At fold 8, seed 26235,round 2 we find one with acc: 91.875, loss: 0.23391237556934358
10folds, Phase2,with aug, At fold 8, seed 26235,round 3 we find one with acc: 92.5, loss: 0.2230590909719467
